,AuthorId,AuthorName
127,93353,Abraham   Verghese
215,17273956,Adam Gasiewski
28,17595,Adam Mansbach
21,17129144,Adir Levy
120,20567865,Admiral William H. McRaven
189,14774948,Adult Coloring Book Designs
72,3961,Alan Moore
180,17621440,Alex Michaelides
16,191218,Alice Schertle
117,6984726,Allie Brosh
185,95742,American Psychiatric Association
194,26688,American Psychological Association
115,4536964,Amor Towles
226,7523337,Amy Ramos
73,4129841,Amy Shields
86,6540057,Andy Weir
152,7580975,Angie Grace
34,15049422,Angie Thomas
166,1890390,Ann Voskamp
43,142845,Ann Whitford Paul
23,1124,Anthony Bourdain
156,28186,Anthony Doerr
62,3078,Atul Gawande
203,498072,Audrey Niffenegger
49,7115158,B.J. Novak
47,20376761,Bessel van der Kolk MD
6,5086768,Bill Martin Jr.
20,27281,Bill O'Reilly
100,9941,Bill Simmons
158,14226459,Blue Star Coloring
212,15441,Bob Woodward
8,6906496,Brandon Stanton
139,273823,Brian Kilmeade
110,236007,Bruce Springsteen
167,217172,Carol S. Dweck
198,164692,Celeste Ng
78,17061,Charlaine Harris
143,5201530,Charles Duhigg
92,300181,Charles Krauthammer
218,155717,Cheryl Strayed
0,14980615,Chip Gaines
173,39021,Chip Heath
240,374590,Chris Cleave
155,2728589,Chris Kyle
108,14184445,Chrissy Teigen
164,157146,Christina Baker Kline
170,8349,Christopher Paolini
182,18216440,Coloring Books for Adults
63,19722899,Craig           Smith
38,4161881,Crispin Boyer
154,17096652,D.K. Hood
107,3317,Dale Carnegie
224,630,Dan Brown
193,96150,Daniel H. Pink
50,486329,Daniel James Brown
174,72401,Daniel Kahneman
213,241540,Daniel Lipkowitz
1,33280,Dav Pilkey
88,44526,Dave Ramsey
64,17977069,David Goggins
171,1431785,David Grann
91,6281688,David McCullough
79,846687,David Platt
187,2484,David Zinczenko
130,17945766,"David, M.D. Perlmutter"
56,821537,Deborah Diesen
30,18672942,Delegates of the Constitutional Convention
27,7043934,Delia Owens
90,4032085,Dinah Bucholz
103,19738156,Don Miguel Ruiz
246,8719,Donna Tartt
208,3519313,Doug Lemov
236,20023558,Dr. Mark Hyman MD
2,61105,Dr. Seuss
192,20725472,"Dr. Steven R. Gundry, MD"
25,6561846,Drew Daywalt
221,7046622,Eben Alexander
131,47449,Edward Klein
178,591748,Edward M. Kennedy
102,1049,Elie Wiesel
237,97313,Elizabeth Strout
4,4880403,Emily Winfield Martin
3,3362,Eric Carle
206,1475621,Eric Larson
151,31712,Ernest Cline
145,19996754,F. A. Hayek
204,3190,F. Scott Fitzgerald
105,1362751,Francis Chan
165,6485178,Fredrik Backman
98,194531,Garth Stein
41,622,Gary Chapman
230,295178,Gayle Forman
234,3370,Geneen Roth
118,3706,George Orwell
116,346732,George R.R. Martin
137,346732,George R.R. Martin
128,13747,George W. Bush
31,6785,Giles Andreae
243,2383,Gillian Flynn
142,188932,Glenn Beck
32,23793,Golden Books
223,27837,Greg Mortenson
59,1825,Harper Lee
217,53,Heidi Murkoff
157,2778471,Hillary Rodham Clinton
44,17348719,Hopscotch Girls
229,8222,Howard Stern
242,19157082,Ian K. Smith M.D.
58,2658,Ina Garten
205,15109469,J.D. Vance
82,39914,J.J. Smith
10,1077326,J.K. Rowling
11,1077326,J.K. Rowling
113,17789724,James Comey
184,348878,James Dashner
202,145416,James E. Lovelock
124,3780,James Patterson
188,569269,Jay Asher
160,4842866,Jaycee Dugard
19,221559,Jeff Kinney
94,69641,Jen Sincero
207,805184,Jennifer E. Smith
14,17835618,Jill Twiss
48,14980616,Joanna Gaines
183,18738769,"Joel Fuhrman, M.D."
80,14155682,Johanna Basford
96,1406384,John Green
200,721,John Grisham
216,23497,John Heilemann
210,466,Jon   Stewart
190,3041,Jon Meacham
134,5202174,Jonathan Cahn
122,282885,Jordan B. Peterson
55,3465,Julia Child
77,3406353,Justin Halpern
53,1943477,Kathryn Stockett
199,45539,Keith Richards
181,3447,Ken Follett
228,634694,Kevin Kwan
222,569,Khaled Hosseini
75,54493,Kristin Hannah
162,100789,Larry Schweikart
66,30913,Laura Hillenbrand
225,15034312,Laurel Randolph
12,5725556,Lin-Manuel Miranda
40,61792,Lysa TerKeurst
126,14717347,M. Prefontaine
186,106,Madeleine L'Engle
163,1439,Malcolm Gladwell
232,3472,Margaret Atwood
24,18479,Margaret Wise Brown
179,5589647,Marie Kondō
61,1093919,Marjorie Sarnat
125,8529755,Mark Manson
135,1274669,Mark Owen
18,311467,Mark R. Levin
235,1244,Mark Twain
129,11466,Markus Zusak
138,4102094,Marty Noble
95,1194527,Mary Ann Shaffer
46,4489,Maurice Sendak
149,19331949,Melissa Hartwig Urban
99,776,Michael   Lewis
214,2121,Michael Pollan
238,188983,Michael Wolff
60,2338628,Michelle Obama
231,4532247,Mike Moreno
51,2331,Mitch Albom
245,643126,Muriel Barbery
76,140780,Naomi Kleinberg
9,7064519,Nathan W. Pyle
39,8305468,National Geographic Kids
106,12855,Neil deGrasse Tyson
7,59483,Nintendo
209,17352910,Paper Peony Press
146,11503,Patrick Lencioni
26,14031444,Paul Kalanithi
239,1063732,Paula Hawkins
227,290189,Paula McLain
97,566,Paulo Coelho
17,141487,Pete Souza
197,4365,Peter A. Lillback
35,6185262,Phil Robertson
241,187544,Pierre Dukan
147,18167894,Pretty Simple Press
37,4859212,R.J. Palacio
121,20280970,RH Disney
140,7578129,Rachel Hollis
36,21618,Raina Telgemeier
93,3089156,Randall Munroe
85,287960,Randy Pausch
133,1630,Ray Bradbury
84,2940640,Rebecca Skloot
65,2884275,Ree Drummond
45,15872,Rick Riordan
233,5344,Rob Bell
150,4020742,Rob Elliott
57,6252,Robert Jordan
69,6039100,Robert Munsch
54,216562,Rod Campbell
119,3164,Roger Priddy
68,9950,Ron Chernow
87,8075577,Rupi Kaur
15,19794,Rush Limbaugh
29,15401886,Samin Nosrat
33,3161,Sandra Boynton
191,24556,Sara Gruen
5,217195,Sarah  Young
144,2040815,Sarah Palin
172,16959062,Sasha O'Hara
81,5609118,Scholastic Inc.
22,118821,School Zone
13,4454736,Sherri Duskey Rinker
196,5333595,Sheryl Sandberg
74,17851120,Silly Bear
244,3309823,Stephen Gallup
67,69521,Stephen Kendrick
112,3389,Stephen King
195,1538,Stephen R. Covey
83,1538,Stephen R. Covey
89,941441,Stephenie Meyer
159,206062,Steve  Harvey
201,798,Steven D. Levitt
104,706255,Stieg Larsson
153,4101935,Susan Cain
71,153394,Suzanne Collins
101,3373474,T. Colin Campbell
111,1214964,Ta-Nehisi Coates
114,16121977,Tara Westover
168,305400,Tatiana de Rosnay
211,13695,The College Board
161,16717801,The Staff of the Late Show with Stephen Colbert
136,1790133,The Washington Post
177,795282,Thomas Piketty
169,7811273,Thug Kitchen
175,210456,Timothy Ferriss
220,4385839,Tina Fey
109,3446736,Todd Burpo
123,3064249,Tony Hsieh
52,159300,Tucker Carlson
132,4039811,Veronica Roth
42,138426,W. Cleon Skousen
176,7111,Walter Isaacson
219,7126313,William  Davis
148,15481463,William Paul Young
70,20547957,Wizards RPG Team
141,4460,Zhi Gang Sha
