Authors,Count
'Izz al-Din Ibn al-Athir,1
50 Cent,1
6' Ferret Writers' Group,1
A H Keesman-Marwitz,1
A. Ashley,1
A. Belden Fields,1
A. Blixt,1
A. Boyd Luter,1
A. Chanoch Glitzenstein,1
A. Ed. Demetriou,1
A. Fleischman,1
A. Gary Shilling,1
A. Graeme Auld,1
A. Hunter Dupree,1
A. LaFaye,1
A. Lee Fritschler,1
A. Leo Oppenheim,1
A. Lloyd Moote,1
A. Maass,1
A. Macintosh,1
A. Manette Ansay,1
A. Martin Byers,1
A. Mazer,1
A. Merritt,1
A. Nicholas Fargnoli,1
A. Norman Jeffares,1
A. Osman Akan,1
A. Paul Hare,1
A. Perez-Reverte,1
A. Philip Parham,1
A. Quinnell,1
A. Richard Thompson,1
A. Stewart Whitley,1
A. Susan Owen,1
A. Wetherell Johnson,1
A.A. De Vitis,1
A.A. Kelly,1
A.A. Milne,1
A.B. Feuer,1
A.B. Guthrie Jr.,1
A.B. Spellman,1
A.B. Yehoshua,1
A.C. Bhaktivedanta Swami Prabhupāda,1
A.C. Crispin,1
A.C. Declerck,1
A.C. Grayling,1
A.C. Shay,1
A.C.B. Cato,1
A.D. Bandrauk,1
A.D. Gristwood,1
A.D. Harvey,1
A.D.H. Mayes,1
A.E. Hartink,1
A.E. Redgate,1
A.E. Taylor,1
A.E. van Vogt,1
A.E.W. Mason,1
A.F. Robertson,1
A.F.L. Beeston,1
A.G. Cairns-Smith,1
A.G. Cascone,1
A.H. Almaas,1
A.H. Andrews,1
A.H. Robertson,1
A.I. Bezzerides,1
A.J. Bicknell & Co.,1
A.J. Jacobs,1
A.J. Liebling,1
A.J. Quinnell,1
A.J. Rathbun,1
A.J. Russell,1
A.J. Verdelle,1
A.J.P. Gore,1
A.J.P. Taylor,1
A.K. Dewdney,1
A.L. Gill,1
A.M. Ilyas,1
A.N. Pirozhkova,1
A.N. Williams,1
A.P. Martinich,1
A.P.J. Abdul Kalam,1
A.R. Azzam,1
A.R. Wichtrich,1
A.S. Byatt,1
A.S. Hornby,1
A.W. Lewis,1
A.W. Smith,1
"ALLEN, PARKER",1
Aafke C.J. Hulk,1
Aamir R. Mufti,1
Aaro E. Aho,1
Aaron  Morgan,1
Aaron Alexovich,1
Aaron B. Caughey,1
Aaron Bacall,1
Aaron Barlow,1
Aaron Betsky,1
Aaron Copland,1
Aaron Dembski-Bowden,1
Aaron E. Katz,1
Aaron E. Walsh,1
Aaron Elkins,1
Aaron Fruh,1
Aaron Gwyn,1
Aaron H. Esman,1
Aaron Klieman,1
Aaron Leitch,1
Aaron Mass,1
Aaron Naparstek,1
Aaron Reynolds,1
Aaron S. Klieman,1
Aaron Shaffer,1
Aaron Shepard,1
Aasheet H. Desai,1
Abbie H. Brown,1
Abby Barry Bergman,1
Abby Ward Messner,1
Abdel Rahman,1
Abdel Sayari,1
Abdel-Fatau Musah,1
Abdellah Bounfour,1
Abdellatif Laâbi,1
Abdul Karim Bangura,1
Abdul Noor,1
Abdulaziz Sachedina,1
Abdullahi Ahmed An-Na'im,1
Abdus Salam,1
Abe Fishman,1
Abel Ortega Jr.,1
Abigail Child,1
Abigail Thomas,1
Abraham   Verghese,1
Abraham Cahan,1
Abraham H. Hartunian,1
Abraham J. Twerski,1
Abraham Lincoln,1
Abraham Pais,1
Abraham Tesser,1
Abraham Wald,1
Abu al-Faraj al-Isbahani,1
Abul K. Abbas,1
Acacia Rose,1
Achdé,1
Achim Weiss,1
Achin Vanaik,1
Acton Figueroa,1
Ad Boeren,1
Ada Lampert,1
Ada Limon,1
Adam   Roberts,1
Adam Bogdanor,1
Adam Bowles,1
Adam Braver,1
Adam Brochert,1
Adam Brooks,1
Adam Budofsky,1
Adam C. Engst,1
Adam Campbell,1
Adam David Morton,1
Adam Fortunate Eagle,1
Adam Frost,1
Adam Gamble,1
Adam Hall,1
Adam Hart-Davis,1
Adam Hochschild,1
Adam J. Sorkin,1
Adam Jolly,1
Adam Langer,1
Adam Letourneau,1
Adam Lively,1
Adam Lucas,1
Adam Pertman,1
Adam Pfeffer,1
Adam Pitluk,1
Adam Przeworski,1
Adam R. Schaefer,1
Adam Robinson,1
Adam Shafran,1
Adam Sisman,1
Adam Stuart,1
Adam Thirlwell,1
Adam Victor,1
Adam Ward,1
Adam Warren,1
Adam Wasson,1
Adam Weiner,1
Adam Woog,1
Adam Zagajewski,1
Adams Family,1
Adel Safty,1
Adelaide D' Andigne,1
Adelaide M. Cromwell,1
Adele Aron Greenspun,1
Adele Faber,1
Adele Goldberg,1
Adele Griffin,1
Adele Logan Alexander,1
Adelia Cellini Linecker,1
Adena Cytron Walker,1
Adi Da Samraj,1
Adib Taherzadeh,1
Admir Hadzic,1
Adolf Guggenbühl-Craig,1
Adolf Hitler,1
Adolf von Harnack,1
Adolfo Bioy Casares,1
Adolfo Costa du Rels,1
Adolph L. Reed Jr.,1
Adolph M. Koven,1
Adolph Moser,1
Adolphe Jullien,1
Adria Vasil,1
Adriaan T. Peperzak,1
Adrian Akers-Douglas,1
Adrian Burgos,1
Adrian C. Louis,1
Adrian Colyer,1
Adrian Fisher,1
Adrian Geoffrey Gilbert,1
Adrian Gilbert,1
Adrian Gilpin,1
Adrian Gostick,1
Adrian Guelke,1
Adrian H. Kreig,1
Adrian House,1
Adrian J. Desmond,1
Adrian Martin,1
Adrian McKinty,1
