AuthorName,Price,Genre,BookId,Title,ISBN,Rating,PublishY
Stephen King,22,Fiction,912842,Everything's Eventual,0340770732,3.97,2002
Stephen King,22,Fiction,912845,Todo es eventual: 14 relatos oscuros,8401328888,3.97,2003
Stephen King,22,Fiction,912846,Everything's Eventual: 14 Dark Tales,0743235185,3.97,2002
Stephen King,22,Fiction,913981,Bag of Bones,0340951427,3.9,2007
Stephen King,22,Fiction,920669,Carrie,0340920947,3.96,2006
Stephen King,22,Fiction,924588,"Wizard and Glass (The Dark Tower, #4)",0340832266,4.25,2003
Stephen King,22,Fiction,924761,El misterio de Salem's Lot,8401474566,4.02,1999
Stephen King,22,Fiction,924762,'Salem's Lot,0340951478,4.02,2007
Stephen King,22,Fiction,930148,Shining,2709612011,4.23,1992
Stephen King,22,Fiction,940449,Cujo,8878242357,3.72,1995
Stephen King,22,Fiction,941204,Dreamcatcher,0340734639,3.63,2003
Stephen King,22,Fiction,952568,Tommyknockers,8401498953,3.54,1992
Stephen King,22,Fiction,957839,Pet Sematary,1417721197,3.99,2002
Stephen King,22,Fiction,963070,The Green Mile,3404139585,4.45,2000
Stephen King,22,Fiction,963081,La Milla Verde,8401327024,4.45,2000
Stephen King,22,Fiction,974791,Cell,0743554337,3.65,2006
Stephen King,22,Fiction,978881,Different Seasons,0451147642,4.35,1981
Stephen King,22,Fiction,983542,Dolores Claiborne,0340546751,3.87,1993
Stephen King,22,Fiction,995103,The Gunslinger,0452261341,3.95,1988
Stephen King,22,Fiction,995123,The Drawing of the Three (The Dark Tower #2),0452262143,4.23,1989
Stephen King,22,Fiction,995127,The Waste Lands (The Dark Tower #3),0452267404,4.24,1992
Stephen King,22,Fiction,995131,"The Waste Lands (The Dark Tower, #3)",0140867171,4.24,1998
Stephen King,22,Fiction,995275,Blood and Smoke,0671046160,3.92,2000
Stephen King,22,Fiction,999567,On Writing: A Memoir of the Craft,0613365682,4.33,2001
George Orwell,6,Fiction,961720,Animal Farm,0582434475,3.94,2000
George Orwell,6,Fiction,978916,A Clergyman's Daughter,0156180650,3.48,1950
Madeleine L'Engle,5,Fiction,952570,Wind In The Door,061372383X,4.03,1976
Madeleine L'Engle,5,Fiction,963476,A Winter's Love,0877888892,3.61,2000
Madeleine L'Engle,5,Fiction,967848,Meet the Austins (Austin Family #1),0808555669,3.84,1981
Madeleine L'Engle,5,Fiction,996347,"A Wrinkle in Time (Time Series, #1)",0440220394,4.0,1996
Ron Chernow,13,Non Fiction,944986,Alexander Hamilton,0142800430,4.22,2004
