,author_id,gender,hometown,book_title,book_isbn,book_isbn13,book_average_rating,book_publisher
0,14980615,female,"Albuquerque, New Mexico",The Magnolia Story,{'@nil': 'true'},{'@nil': 'true'},4.18,
1,14980615,female,"Albuquerque, New Mexico",Capital Gaines: Smart Things I Learned Doing Stupid Stuff,0785216308,9780785216308,4.01,Thomas Nelson
2,14980615,female,"Albuquerque, New Mexico",Building a Network: The Power of Relationships in Work and in Life,1713529122,9781713529125,3.00,Thomas Nelson on Brilliance Audio
3,14980615,female,"Albuquerque, New Mexico",Homebody / Magnolia Table,8925599376,9788925599373,4.33,
4,14980615,female,"Albuquerque, New Mexico",What Makes a Marriage Last: 40 Celebrated Couples Share with Us the Secrets to a Happy Life,{'@nil': 'true'},{'@nil': 'true'},4.08,HarperAudio
5,14980615,female,"Albuquerque, New Mexico",I Choose Peace: Raw Stories of Real People Finding Contentment and Happiness,{'@nil': 'true'},{'@nil': 'true'},4.30,Thomas Nelson
6,33280,,"Cleveland, OH","Captain Underpants and the Attack of the Talking Toilets (Captain Underpants, #2)",0439995442,9780439995443,4.06,Scholastic
7,33280,,"Cleveland, OH","The Adventures of Captain Underpants (Captain Underpants, #1)",0439014573,9780439014571,3.96,Scholastic Children's Books
8,33280,,"Cleveland, OH","Dog Man (Dog Man, #1)",0545581605,9780545581608,4.16,Graphix
9,33280,,"Cleveland, OH",The Adventures of Ook and Gluk: Kung Fu Cavemen from the Future,0545175305,9780545175302,4.21,The Blue Sky Press
10,33280,,"Cleveland, OH","Captain Underpants and the Perilous Plot of Professor Poopypants (Captain Underpants, #4)",0439998190,9780439998192,4.21,Scholastic
11,33280,,"Cleveland, OH","Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space and the Subsequent Assault of the Equally Evil Lunchroom Zombie Nerds (Captain Underpants, #3)",0439997100,9780439997102,4.19,
12,33280,,"Cleveland, OH","Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 1: The Night of the Nasty Nostril Nuggets (Captain Underpants, #6)",0439376106,9780439376105,4.18,Scholastic Paperbacks
13,33280,,"Cleveland, OH","Captain Underpants and the Big Bad Battle of the Bionic Booger Boy, Part 2: Revenge of the Ridiculous Robo-Boogers (Captain Underpants, #7)",043997772X,9780439977722,4.20,"Scholastic, Inc."
14,33280,,"Cleveland, OH","Captain Underpants and the Wrath of the Wicked Wedgie Woman (Captain Underpants, #5)",0439994802,9780439994804,4.18,Scholastic
15,33280,,"Cleveland, OH","The Adventures of Super Diaper Baby (Super Diaper Baby, #1)",0439376068,9780439376068,4.24,Blue Sky Press
16,61105,male,"Springfield, MA",Green Eggs and Ham,0394800168,9780394800165,4.30,Random House Books for Young Readers
17,61105,male,"Springfield, MA","The Cat in the Hat (The Cat in the Hat, #1)",039480001X,9780394800011,4.17,Random House Books for Young Readers
18,61105,male,"Springfield, MA","Oh, the Places You'll Go!",0679805273,9780679805274,4.35,Random House Books for Young Readers
19,61105,male,"Springfield, MA",How the Grinch Stole Christmas!,0007173040,9780007173044,4.36,Harper Collins Children's Books
