,author_id,author_name
0,14980615,Chip Gaines
1,33280,Dav Pilkey
2,61105,Dr. Seuss
3,3362,Eric Carle
4,4880403,Emily Winfield Martin
5,217195,Sarah  Young
6,5086768,Bill Martin Jr.
7,59483,Nintendo
8,6906496,Brandon Stanton
9,7064519,Nathan W. Pyle
10,1077326,J.K. Rowling
11,1077326,J.K. Rowling
12,5725556,Lin-Manuel Miranda
13,4454736,Sherri Duskey Rinker
14,17835618,Jill Twiss
15,19794,Rush Limbaugh
16,191218,Alice Schertle
17,141487,Pete Souza
18,311467,Mark R. Levin
19,221559,Jeff Kinney
20,27281,Bill O'Reilly
21,17129144,Adir Levy
22,118821,School Zone
23,1124,Anthony Bourdain
24,18479,Margaret Wise Brown
25,6561846,Drew Daywalt
26,14031444,Paul Kalanithi
27,7043934,Delia Owens
28,17595,Adam Mansbach
29,15401886,Samin Nosrat
30,18672942,Delegates of the Constitutional Convention
31,6785,Giles Andreae
32,23793,Golden Books
33,3161,Sandra Boynton
34,15049422,Angie Thomas
35,6185262,Phil Robertson
36,21618,Raina Telgemeier
37,4859212,R.J. Palacio
38,4161881,Crispin Boyer
39,8305468,National Geographic Kids
40,61792,Lysa TerKeurst
41,622,Gary Chapman
42,138426,W. Cleon Skousen
43,142845,Ann Whitford Paul
44,17348719,Hopscotch Girls
45,15872,Rick Riordan
46,4489,Maurice Sendak
47,20376761,Bessel van der Kolk MD
48,14980616,Joanna Gaines
49,7115158,B.J. Novak
50,486329,Daniel James Brown
51,2331,Mitch Albom
52,159300,Tucker Carlson
53,1943477,Kathryn Stockett
54,216562,Rod Campbell
55,3465,Julia Child
56,821537,Deborah Diesen
57,6252,Robert Jordan
58,2658,Ina Garten
59,1825,Harper Lee
60,2338628,Michelle Obama
61,1093919,Marjorie Sarnat
62,3078,Atul Gawande
63,19722899,Craig           Smith
64,17977069,David Goggins
65,2884275,Ree Drummond
66,30913,Laura Hillenbrand
67,69521,Stephen Kendrick
68,9950,Ron Chernow
69,6039100,Robert Munsch
70,20547957,Wizards RPG Team
71,153394,Suzanne Collins
72,3961,Alan Moore
73,4129841,Amy Shields
74,17851120,Silly Bear
75,54493,Kristin Hannah
76,140780,Naomi Kleinberg
77,3406353,Justin Halpern
78,17061,Charlaine Harris
79,846687,David Platt
80,14155682,Johanna Basford
81,5609118,Scholastic Inc.
82,39914,J.J. Smith
83,1538,Stephen R. Covey
84,2940640,Rebecca Skloot
85,287960,Randy Pausch
86,6540057,Andy Weir
87,8075577,Rupi Kaur
88,44526,Dave Ramsey
89,941441,Stephenie Meyer
90,4032085,Dinah Bucholz
91,6281688,David McCullough
92,300181,Charles Krauthammer
93,3089156,Randall Munroe
94,69641,Jen Sincero
95,1194527,Mary Ann Shaffer
96,1406384,John Green
97,566,Paulo Coelho
98,194531,Garth Stein
99,776,Michael   Lewis
100,9941,Bill Simmons
101,3373474,T. Colin Campbell
102,1049,Elie Wiesel
103,19738156,Don Miguel Ruiz
104,706255,Stieg Larsson
105,1362751,Francis Chan
106,12855,Neil deGrasse Tyson
107,3317,Dale Carnegie
108,14184445,Chrissy Teigen
109,3446736,Todd Burpo
110,236007,Bruce Springsteen
111,1214964,Ta-Nehisi Coates
112,3389,Stephen King
113,17789724,James Comey
114,16121977,Tara Westover
115,4536964,Amor Towles
116,346732,George R.R. Martin
117,6984726,Allie Brosh
118,3706,George Orwell
119,3164,Roger Priddy
120,20567865,Admiral William H. McRaven
121,20280970,RH Disney
122,282885,Jordan B. Peterson
123,3064249,Tony Hsieh
124,3780,James Patterson
125,8529755,Mark Manson
126,14717347,M. Prefontaine
127,93353,Abraham   Verghese
128,13747,George W. Bush
129,11466,Markus Zusak
130,17945766,"David, M.D. Perlmutter"
131,47449,Edward Klein
132,4039811,Veronica Roth
133,1630,Ray Bradbury
134,5202174,Jonathan Cahn
135,1274669,Mark Owen
136,1790133,The Washington Post
137,346732,George R.R. Martin
138,4102094,Marty Noble
139,273823,Brian Kilmeade
